Comuna,Region,Piloto
Santiago,Región Metropolitana,SI
Cerrillos,Región Metropolitana,NO
Cerro Navia,Región Metropolitana,NO
Conchalí,Región Metropolitana,NO
El Bosque,Región Metropolitana,NO
Estación Central,Región Metropolitana,NO
Huechuraba,Región Metropolitana,NO
Independencia,Región Metropolitana,NO
La Cisterna,Región Metropolitana,NO
La Florida,Región Metropolitana,NO
La Granja,Región Metropolitana,NO
La Pintana,Región Metropolitana,NO
La Reina,Región Metropolitana,NO
Las Condes,Región Metropolitana,SI
Lo Barnechea,Región Metropolitana,NO
Lo Espejo,Región Metropolitana,NO
Lo Prado,Región Metropolitana,NO
Macul,Región Metropolitana,NO
Maipú,Región Metropolitana,NO
Ñuñoa,Región Metropolitana,SI
Pedro Aguirre Cerda,Región Metropolitana,NO
Peñalolén,Región Metropolitana,NO
Providencia,Región Metropolitana,SI
Pudahuel,Región Metropolitana,NO
Quilicura,Región Metropolitana,NO
Quinta Normal,Región Metropolitana,NO
Recoleta,Región Metropolitana,NO
Renca,Región Metropolitana,NO
San Joaquín,Región Metropolitana,NO
San Miguel,Región Metropolitana,NO
San Ramón,Región Metropolitana,NO
Vitacura,Región Metropolitana,NO
Puente Alto,Región Metropolitana,NO
Pirque,Región Metropolitana,NO
San José de Maipo,Región Metropolitana,NO
Colina,Región Metropolitana,NO
Lampa,Región Metropolitana,NO
Tiltil,Región Metropolitana,NO
San Bernardo,Región Metropolitana,NO
Buin,Región Metropolitana,NO
Calera de Tango,Región Metropolitana,NO
Paine,Región Metropolitana,NO
Melipilla,Región Metropolitana,NO
Alhué,Región Metropolitana,NO
Curacaví,Región Metropolitana,NO
María Pinto,Región Metropolitana,NO
San Pedro,Región Metropolitana,NO
Talagante,Región Metropolitana,NO
El Monte,Región Metropolitana,NO
Isla de Maipo,Región Metropolitana,NO
Padre Hurtado,Región Metropolitana,NO
Peñaflor,Región Metropolitana,NO
