"Nombre restaurante","Rating","Cantidad reviews","Dirección","Teléfono","Sitio web","Categoría","Google Maps URL","Latitud","Longitud","Comuna","Región","País","Fuente","Fecha extracción","Calidad dato","Es restaurante válido","Instagram URL","Instagram Usuario","Facebook URL","TikTok URL","Tiene Redes","Calidad Redes","Está en Uber Eats","URL Uber Eats","Confianza Uber Eats","Está en PedidosYa","URL PedidosYa","Confianza PedidosYa","Está en Rappi","URL Rappi","Confianza Rappi","Observaciones"
"Casa Sanz","4.7","215","Av Vitacura 4873, 7630000 Vitacura, Región Metropolitana","9 9165 1370","https://hotelbidasoa.cl/","Restaurante","https://www.google.com/maps/place/Casa+Sanz/data=!4m7!3m6!1s0x9662cfaa42f67979:0x78939ae5f730c248!8m2!3d-33.3982681!4d-70.5851944!16s%2Fg%2F11sjxnlkxg!19sChIJeXn2QqrPYpYRSMIw9-Wak3g?authuser=0&hl=es-419&rclk=1","-33.3982681","-70.5851944","Vitacura","Metropolitana","Chile","Google Maps web scraping con Playwright","2026-05-22","Completo","Sí","","","","","","","","","","","","","","","",""
"El Toro Vitacura","4.6","29","Alonso de Córdova 3788, piso -1, 7630000 Vitacura, Región Metropolitana","9 3201 9661","http://www.eltoro.cl/","Restaurante","https://www.google.com/maps/place/El+Toro+Vitacura/@-33.4018737,-70.5929112,17z/data=!3m1!4b1!4m6!3m5!1s0x9662cf89a33b0f49:0x1b187e22a345a7e0!8m2!3d-33.4018737!4d-70.5929112!16s%2Fg%2F11sw_ws1rr?authuser=0&hl=es-419&entry=ttu&g_ep=EgoyMDI2MDUxNy4wIKXMDSoASAFQAw%3D%3D","-33.4018737","-70.5929112","Vitacura","Metropolitana","Chile","Google Maps web scraping con Playwright","2026-05-22","Completo","Sí","","","","","","","","","","","","","","","",""
"Ofelia Gastrobar","4.7","95","Av Vitacura 3201, 7630578 Vitacura, Región Metropolitana","(2) 2944 7800","https://www.ofeliagastrobar.com/","Restaurante","https://www.google.com/maps/place/Ofelia+Gastrobar/@-33.4074623,-70.5985484,17z/data=!3m1!4b1!4m6!3m5!1s0x9662cf94400bd1d1:0xab1af5b17f27cd4e!8m2!3d-33.4074623!4d-70.5985484!16s%2Fg%2F11ryt4r0yc?authuser=0&hl=es-419&entry=ttu&g_ep=EgoyMDI2MDUxNy4wIKXMDSoASAFQAw%3D%3D","-33.4074623","-70.5985484","Vitacura","Metropolitana","Chile","Google Maps web scraping con Playwright","2026-05-22","Completo","Sí","","","","","","","","","","","","","","","",""
"Demencia","4.1","54","Av Vitacura 3520, 7630523 Vitacura, Región Metropolitana","9 3861 1684","https://www.instagram.com/demenciastgo/","Restaurante","https://www.google.com/maps/place/Demencia/data=!4m7!3m6!1s0x9662cfb61d16452b:0x6108ad9a3153fe62!8m2!3d-33.4039236!4d-70.5964995!16s%2Fg%2F11rcscbqmr!19sChIJK0UWHbbPYpYRYv5TMZqtCGE?authuser=0&hl=es-419&rclk=1","-33.4039236","-70.5964995","Vitacura","Metropolitana","Chile","Google Maps web scraping con Playwright","2026-05-22","Completo","Sí","","","","","","","","","","","","","","","",""
"Bar Santiago Vitacura","4.6","864","Av Vitacura 7120, 7640560 Vitacura, Región Metropolitana","9 7996 4119","https://barsantiago.cl/","Bar restaurante","https://www.google.com/maps/place/Bar+Santiago+Vitacura/data=!4m7!3m6!1s0x9662c9465439ed5d:0x1ee5cf0006f07af3!8m2!3d-33.3867402!4d-70.5649557!16s%2Fg%2F11tjf5xr59!19sChIJXe05VEbJYpYR83rwBgDP5R4?authuser=0&hl=es-419&rclk=1","-33.3867402","-70.5649557","Vitacura","Metropolitana","Chile","Google Maps web scraping con Playwright","2026-05-22","Completo","Sí","","","","","","","","","","","","","","","",""
"APPA Restaurante","4.8","174","Av Vitacura 7501, 7650296 Vitacura, Región Metropolitana","9 7430 8508","https://toteat.app/r/cl/APPA---VITACURA/9255","Restaurante","https://www.google.com/maps/place/APPA+Restaurante/data=!4m7!3m6!1s0x9662c9004da0f611:0x507e760a4ead2bf0!8m2!3d-33.386285!4d-70.5618881!16s%2Fg%2F11w1k7qgxk!19sChIJEfagTQDJYpYR8CutTgp2flA?authuser=0&hl=es-419&rclk=1","-33.386285","-70.5618881","Vitacura","Metropolitana","Chile","Google Maps web scraping con Playwright","2026-05-22","Completo","Sí","","","","","","","","","","","","","","","",""
"CAOBA BAR","4.6","834","Alonso de Córdova 4156, 7630448 Vitacura, Región Metropolitana","9 5855 6596","https://caobabar.cl/","Bar restaurante","https://www.google.com/maps/place/CAOBA+BAR/data=!4m7!3m6!1s0x9662cfec8b5a7381:0x776af53046b0faf0!8m2!3d-33.4026497!4d-70.5901323!16s%2Fg%2F11tcwmj81r!19sChIJgXNai-zPYpYR8PqwRjD1anc?authuser=0&hl=es-419&rclk=1","-33.4026497","-70.5901323","Vitacura","Metropolitana","Chile","Google Maps web scraping con Playwright","2026-05-22","Completo","Sí","","","","","","","","","","","","","","","",""
"Tanaka Vitacura","4.5","45","Alonso de Córdova 4248, 7630504 Santiago, Vitacura, Región Metropolitana","9 7443 4824","http://www.tanaka.cl/vitacura","Restaurante","https://www.google.com/maps/place/Tanaka+Vitacura/data=!4m7!3m6!1s0x9662cf3719587b89:0x472600fb6eb00235!8m2!3d-33.4030473!4d-70.5886892!16s%2Fg%2F11ckw294gm!19sChIJiXtYGTfPYpYRNQKwbvsAJkc?authuser=0&hl=es-419&rclk=1","-33.4030473","-70.5886892","Vitacura","Metropolitana","Chile","Google Maps web scraping con Playwright","2026-05-22","Completo","Sí","","","","","","","","","","","","","","","",""
"Piegari Chile","4.7","61","Av. Nueva Costanera 4092, 7630191 Vitacura, Región Metropolitana","9 3453 7621","http://www.piegari.cl/","Restaurante italiano","https://www.google.com/maps/place/Piegari+Chile/@-33.3954005,-70.5975267,17z/data=!3m1!4b1!4m6!3m5!1s0x9662cfe62edf92cf:0xe56813440fe5a463!8m2!3d-33.3954005!4d-70.5975267!16s%2Fg%2F11dyrb51w7?authuser=0&hl=es-419&entry=ttu&g_ep=EgoyMDI2MDUxNy4wIKXMDSoASAFQAw%3D%3D","-33.3954005","-70.5975267","Vitacura","Metropolitana","Chile","Google Maps web scraping con Playwright","2026-05-22","Completo","Sí","","","","","","","","","","","","","","","",""
"Centro Gastronómico BordeRío","4.6","36","Costanera Sur S.J.E. de Balaguer 6400, 7640859 Vitacura, Región Metropolitana","(2) 2941 5000","http://www.borderio.cl/","Zona de restauración","https://www.google.com/maps/place/Centro+Gastron%C3%B3mico+BordeR%C3%ADo/@-33.3815722,-70.5792292,17z/data=!3m1!4b1!4m6!3m5!1s0x9662c8d747930ddd:0x1e7e60f0563c582e!8m2!3d-33.3815722!4d-70.5792292!16s%2Fg%2F1tgm41dl?authuser=0&hl=es-419&entry=ttu&g_ep=EgoyMDI2MDUxNy4wIKXMDSoASAFQAw%3D%3D","-33.3815722","-70.5792292","Vitacura","Metropolitana","Chile","Google Maps web scraping con Playwright","2026-05-22","Completo","No","","","","","","","","","","","","","","","",""
"Barceloneta","4.2","321","Av Vitacura 3391, 7630564 Vitacura, Región Metropolitana","","https://barcelonetasantiago.com/","Restaurante","https://www.google.com/maps/place/Barceloneta/data=!4m7!3m6!1s0x9662cfa76461b4fd:0x58bb79a751db2280!8m2!3d-33.4053922!4d-70.5972991!16s%2Fg%2F11l6mbcws2!19sChIJ_bRhZKfPYpYRgCLbUad5u1g?authuser=0&hl=es-419&rclk=1","-33.4053922","-70.5972991","Vitacura","Metropolitana","Chile","Google Maps web scraping con Playwright","2026-05-22","Sin teléfono","Sí","","","","","","","","","","","","","","","","Sin teléfono visible"
"Mestizo","4.4","77","Av. Bicentenario 4050, Santiago, Vitacura, Región Metropolitana","","https://mestizorestaurant.cl/","Restaurante de alta cocina","https://www.google.com/maps/place/Mestizo/@-33.3942718,-70.5999298,17z/data=!3m1!4b1!4m6!3m5!1s0x9662cf4bb499917f:0xfd06a131a5f08a6d!8m2!3d-33.3942718!4d-70.5999298!16s%2Fg%2F1tmqm_0s?authuser=0&hl=es-419&entry=ttu&g_ep=EgoyMDI2MDUxNy4wIKXMDSoASAFQAw%3D%3D","-33.3942718","-70.5999298","Vitacura","Metropolitana","Chile","Google Maps web scraping con Playwright","2026-05-22","Sin teléfono","Sí","","","","","","","","","","","","","","","","Sin teléfono visible"
"Arca Bar","4.7","09","Av. Nueva Costanera 3986, 7630000 Vitacura, Región Metropolitana","9 6839 9315","https://www.grupoarca.cl/","Bar","https://www.google.com/maps/place/Arca+Bar/@-33.3972025,-70.597931,17z/data=!3m1!4b1!4m6!3m5!1s0x9662cfe6bdc049f1:0xae691c9d8f796c3d!8m2!3d-33.3972025!4d-70.597931!16s%2Fg%2F11q1n_nb_5?authuser=0&hl=es-419&entry=ttu&g_ep=EgoyMDI2MDUxNy4wIKXMDSoASAFQAw%3D%3D","-33.3972025","-70.597931","Vitacura","Metropolitana","Chile","Google Maps web scraping con Playwright","2026-05-22","Completo","No","","","","","","","","","","","","","","","",""
"Capogrossi","4.5","18","Alonso de Córdova 4225, 7630524 Vitacura, Región Metropolitana","9 4469 3223","https://capogrossi.cl/","Restaurante italiano","https://www.google.com/maps/place/Capogrossi/data=!4m7!3m6!1s0x9662cfac4ffe31d1:0x7000c380cbd5efe5!8m2!3d-33.4034028!4d-70.5893016!16s%2Fg%2F11s51d17m6!19sChIJ0TH-T6zPYpYR5e_Vy4DDAHA?authuser=0&hl=es-419&rclk=1","-33.4034028","-70.5893016","Vitacura","Metropolitana","Chile","Google Maps web scraping con Playwright","2026-05-22","Completo","Sí","","","","","","","","","","","","","","","",""
"La Mar by Gaston Acurio","4.6","17","Av. Nueva Costanera 4076, 7630191 Vitacura, Región Metropolitana","(2) 2617 0848","https://www.lamarcebicheria.com/santiago-de-chile/","Restaurante","https://www.google.com/maps/place/La+Mar+by+Gaston+Acurio/data=!4m7!3m6!1s0x9662cf3561295821:0x184796e8fe9b36c0!8m2!3d-33.395535!4d-70.59766!16s%2Fg%2F11bw3d5xb0!19sChIJIVgpYTXPYpYRwDab_uiWRxg?authuser=0&hl=es-419&rclk=1","-33.395535","-70.59766","Vitacura","Metropolitana","Chile","Google Maps web scraping con Playwright","2026-05-22","Completo","Sí","","","","","","","","","","","","","","","",""
"Rubaiyat Chile","4.5","93","Av. Nueva Costanera 4031, 7630244 Vitacura, Región Metropolitana","(2) 2617 9800","https://gruporubaiyat.com/es/","Restaurante","https://www.google.com/maps/place/Rubaiyat+Chile/data=!4m7!3m6!1s0x9662cf357c0dc795:0xdfa8171effe5e3bd!8m2!3d-33.3963918!4d-70.5970912!16s%2Fg%2F11cm0584gn!19sChIJlccNfDXPYpYRvePl_x4XqN8?authuser=0&hl=es-419&rclk=1","-33.3963918","-70.5970912","Vitacura","Metropolitana","Chile","Google Maps web scraping con Playwright","2026-05-22","Completo","Sí","","","","","","","","","","","","","","","",""
"Restaurant Miraolas","4.5","60","Av Vitacura 4171, 7630358 Santiago, Vitacura, Región Metropolitana","9 8385 0206","http://www.miraolas.cl/","Restaurante","https://www.google.com/maps/place/Restaurant+Miraolas/data=!4m7!3m6!1s0x9662cf316d7aaf55:0xfb7f125473d331be!8m2!3d-33.3999035!4d-70.5900577!16s%2Fg%2F1tfcdcry!19sChIJVa96bTHPYpYRvjHTc1QSf_s?authuser=0&hl=es-419&rclk=1","-33.3999035","-70.5900577","Vitacura","Metropolitana","Chile","Google Maps web scraping con Playwright","2026-05-22","Completo","Sí","","","","","","","","","","","","","","","",""
"Kechua Vitacura","4.7","492","Costanera Sur S.J.E. de Balaguer 6400, LUG 2-A, 7630000 Vitacura, Región Metropolitana","(2) 2427 9686","https://kechuarestaurantes.cl/borderio/","Restaurante peruano","https://www.google.com/maps/place/Kechua+Vitacura/@-33.3817562,-70.57943,17z/data=!3m1!4b1!4m6!3m5!1s0x9662c91a55258adf:0x8b4d8fd1119ebaae!8m2!3d-33.3817562!4d-70.57943!16s%2Fg%2F11sj5dh_jm?authuser=0&hl=es-419&entry=ttu&g_ep=EgoyMDI2MDUxNy4wIKXMDSoASAFQAw%3D%3D","-33.3817562","-70.57943","Vitacura","Metropolitana","Chile","Google Maps web scraping con Playwright","2026-05-22","Completo","Sí","","","","","","","","","","","","","","","",""
"Rishtedar Vitacura","4.6","98","Av Vitacura 5461, 7630598 Vitacura, Región Metropolitana","9 8888 3581","http://www.rishtedar.cl/","Restaurante indio","https://www.google.com/maps/place/Rishtedar+Vitacura/data=!4m7!3m6!1s0x9662cf2b93ed4dff:0x907266614eb68b68!8m2!3d-33.3950354!4d-70.5790121!16s%2Fg%2F11cmsvbxwj!19sChIJ_03tkyvPYpYRaIu2TmFmcpA?authuser=0&hl=es-419&rclk=1","-33.3950354","-70.5790121","Vitacura","Metropolitana","Chile","Google Maps web scraping con Playwright","2026-05-22","Completo","Sí","","","","","","","","","","","","","","","",""
"Panchita","4.5","68","Av. Nueva Costanera 3979, 7630268 Vitacura, Región Metropolitana","9 9609 4839","","Restaurante peruano","https://www.google.com/maps/place/Panchita/data=!4m7!3m6!1s0x9662cfe8f6df9f3d:0x3697a17c33501e74!8m2!3d-33.397429!4d-70.59735!16s%2Fg%2F11h7cwv3y7!19sChIJPZ_f9ujPYpYRdB5QM3yhlzY?authuser=0&hl=es-419&rclk=1","-33.397429","-70.59735","Vitacura","Metropolitana","Chile","Google Maps web scraping con Playwright","2026-05-22","Parcial","Sí","","","","","","","","","","","","","","","",""
"Morera Casa Bar","4.6","53","Alonso de Córdova 4017, 7630507 Vitacura, Región Metropolitana","9 6656 6626","","Bar restaurante","https://www.google.com/maps/place/Morera+Casa+Bar/data=!4m7!3m6!1s0x9662cf3ba1703933:0x86c4505fef9fecfc!8m2!3d-33.4029117!4d-70.5911691!16s%2Fg%2F11hy99gmfk!19sChIJMzlwoTvPYpYR_Oyf719QxIY?authuser=0&hl=es-419&rclk=1","-33.4029117","-70.5911691","Vitacura","Metropolitana","Chile","Google Maps web scraping con Playwright","2026-05-22","Parcial","Sí","","","","","","","","","","","","","","","",""
"Club Gordos Vitacura","4.5","686","Av Vitacura 4607, LOCAL 12A, 7630290 Santiago, Vitacura, Región Metropolitana","9 3718 1722","","Bar restaurante","https://www.google.com/maps/place/Club+Gordos+Vitacura/data=!4m7!3m6!1s0x9662cfdfc2bc2ef1:0xa1dabc2f069dea77!8m2!3d-33.3989482!4d-70.5860436!16s%2Fg%2F11vssvynp7!19sChIJ8S68wt_PYpYRd-qdBi-82qE?authuser=0&hl=es-419&rclk=1","-33.3989482","-70.5860436","Vitacura","Metropolitana","Chile","Google Maps web scraping con Playwright","2026-05-22","Parcial","Sí","","","","","","","","","","","","","","","",""
"La Bottega Gandolini","4.6","535","Alonso de Córdova 2335, 7560873 Vitacura, Región Metropolitana","9 9748 7298","http://labottegagandolini.cl/","Restaurante italiano","https://www.google.com/maps/place/La+Bottega+Gandolini/@-33.4015235,-70.5941925,17z/data=!3m1!4b1!4m6!3m5!1s0x9662cf4dfed4eaa3:0x89afe16d74a64537!8m2!3d-33.4015235!4d-70.5941925!16s%2Fg%2F11s75sxv60?authuser=0&hl=es-419&entry=ttu&g_ep=EgoyMDI2MDUxNy4wIKXMDSoASAFQAw%3D%3D","-33.4015235","-70.5941925","Vitacura","Metropolitana","Chile","Google Maps web scraping con Playwright","2026-05-22","Completo","Sí","","","","","","","","","","","","","","","",""
"El Zocalo Cocina Mexicana - Vitacura","4.1","647","Alonso de Córdova 4073, 7560801 Vitacura, Región Metropolitana","9 4558 0735","http://www.elzocalo.cl/","Restaurante mexicano","https://www.google.com/maps/place/El+Zocalo+Cocina+Mexicana+-+Vitacura/data=!4m7!3m6!1s0x9662cf2bae8a80ef:0xa093a6e2a726b23e!8m2!3d-33.4030374!4d-70.59089!16s%2Fg%2F11qqr1vytc!19sChIJ74CKrivPYpYRPrImp-Kmk6A?authuser=0&hl=es-419&rclk=1","-33.4030374","-70.59089","Vitacura","Metropolitana","Chile","Google Maps web scraping con Playwright","2026-05-22","Completo","Sí","","","","","","","","","","","","","","","",""
"Beasty Butchers","4.7","67","Av Vitacura 3456, Local 8, 7630550 Vitacura, Región Metropolitana","9 9324 3462","http://www.beasty.cl/","Restaurante","https://www.google.com/maps/place/Beasty+Butchers/@-33.40444,-70.5972107,17z/data=!3m1!4b1!4m6!3m5!1s0x9662cf66393061e5:0x3f3b099309823545!8m2!3d-33.40444!4d-70.5972107!16s%2Fg%2F11pd1vzyqz?authuser=0&hl=es-419&entry=ttu&g_ep=EgoyMDI2MDUxNy4wIKXMDSoASAFQAw%3D%3D","-33.40444","-70.5972107","Vitacura","Metropolitana","Chile","Google Maps web scraping con Playwright","2026-05-22","Completo","Sí","","","","","","","","","","","","","","","",""
