Restaurante,Comuna,Query Google sugerida,URL busqueda Google,Query Rappi sugerida,Estado revision Rappi,URL Rappi encontrada,Observacion,Revisado manualmente
Cassis Mall Arauco Chillán,Chillán,Cassis Mall Arauco Chillán Chillán Rappi,https://www.google.com/search?q=Cassis+Mall+Arauco+Chill%C3%A1n+Chill%C3%A1n+Rappi,Cassis Mall Arauco Chillán,Dudoso,,Pendiente de revision manual. No marcar encontrado sin evidencia clara.,No
Lanzas y Fuego,Curicó,Lanzas y Fuego Curicó Rappi,https://www.google.com/search?q=Lanzas+y+Fuego+Curic%C3%B3+Rappi,Lanzas y Fuego,Dudoso,,Pendiente de revision manual. No marcar encontrado sin evidencia clara.,No
Kaitona Sushi la Florida,La Florida,Kaitona Sushi la Florida La Florida Rappi,https://www.google.com/search?q=Kaitona+Sushi+la+Florida+La+Florida+Rappi,Kaitona Sushi la Florida,Dudoso,,Pendiente de revision manual. No marcar encontrado sin evidencia clara.,No
Café Marale Ñuñoa,Ñuñoa,Café Marale Ñuñoa Ñuñoa Rappi,https://www.google.com/search?q=Caf%C3%A9+Marale+%C3%91u%C3%B1oa+%C3%91u%C3%B1oa+Rappi,Café Marale Ñuñoa,Dudoso,,Pendiente de revision manual. No marcar encontrado sin evidencia clara.,No
Centro Gastronómico BordeRío,Vitacura,Centro Gastronómico BordeRío Vitacura Rappi,https://www.google.com/search?q=Centro+Gastron%C3%B3mico+BordeR%C3%ADo+Vitacura+Rappi,Centro Gastronómico BordeRío,Dudoso,,Pendiente de revision manual. No marcar encontrado sin evidencia clara.,No
La Cabrera Al Paso Egaña,La Reina,La Cabrera Al Paso Egaña La Reina Rappi,https://www.google.com/search?q=La+Cabrera+Al+Paso+Ega%C3%B1a+La+Reina+Rappi,La Cabrera Al Paso Egaña,Dudoso,,Pendiente de revision manual. No marcar encontrado sin evidencia clara.,No
Pal´Mar Restaurant,Providencia,Pal´Mar Restaurant Providencia Rappi,https://www.google.com/search?q=Pal%C2%B4Mar+Restaurant+Providencia+Rappi,Pal´Mar Restaurant,Dudoso,,Pendiente de revision manual. No marcar encontrado sin evidencia clara.,No
Brunapoli Los Trapenses,Lo Barnechea,Brunapoli Los Trapenses Lo Barnechea Rappi,https://www.google.com/search?q=Brunapoli+Los+Trapenses+Lo+Barnechea+Rappi,Brunapoli Los Trapenses,Dudoso,,Pendiente de revision manual. No marcar encontrado sin evidencia clara.,No
Margó Isidora Goyenechea,Las Condes,Margó Isidora Goyenechea Las Condes Rappi,https://www.google.com/search?q=Marg%C3%B3+Isidora+Goyenechea+Las+Condes+Rappi,Margó Isidora Goyenechea,Dudoso,,Pendiente de revision manual. No marcar encontrado sin evidencia clara.,No
Bom Burger Chile,Curicó,Bom Burger Chile Curicó Rappi,https://www.google.com/search?q=Bom+Burger+Chile+Curic%C3%B3+Rappi,Bom Burger Chile,Dudoso,,Pendiente de revision manual. No marcar encontrado sin evidencia clara.,No
Boulevard Plaza Ñuñoa,Ñuñoa,Boulevard Plaza Ñuñoa Ñuñoa Rappi,https://www.google.com/search?q=Boulevard+Plaza+%C3%91u%C3%B1oa+%C3%91u%C3%B1oa+Rappi,Boulevard Plaza Ñuñoa,Dudoso,,Pendiente de revision manual. No marcar encontrado sin evidencia clara.,No
