"Nombre restaurante","Rating","Cantidad reviews","Dirección","Teléfono","Sitio web","Categoría","Google Maps URL","Latitud","Longitud","Comuna","Región","País","Fuente","Fecha extracción","Calidad dato","Es restaurante válido","Instagram URL","Instagram Usuario","Facebook URL","TikTok URL","Tiene Redes","Calidad Redes","Está en Uber Eats","URL Uber Eats","Confianza Uber Eats","Está en PedidosYa","URL PedidosYa","Confianza PedidosYa","Está en Rappi","URL Rappi","Confianza Rappi","Observaciones","Nombre normalizado","Posible cadena/franquicia","Grupo cadena/franquicia","Posible duplicado entre comunas","Grupo duplicado","Tipo negocio","Score comercial","Nivel comercial","Tiene Instagram","Calidad Instagram","Tiene Facebook","Calidad Facebook","Búsqueda Instagram sugerida","Búsqueda Facebook sugerida","Estado enriquecimiento redes","Observación redes"
"Raffaella Cucina Napoletana","4.8","939","Ntra. Sra. del Rosario 21, 7560763 Las Condes, Región Metropolitana","9 4018 6723","http://www.raffaellacucina.cl/","Restaurante italiano","https://www.google.com/maps/place/Raffaella+Cucina+Napoletana/@-33.4063143,-70.5612246,17z/data=!3m1!4b1!4m6!3m5!1s0x9662cff574ae6adb:0x32b078a303f2f8ec!8m2!3d-33.4063143!4d-70.5612246!16s%2Fg%2F11s1v1pqdl?authuser=0&hl=es-419&entry=ttu&g_ep=EgoyMDI2MDUyMC4wIKXMDSoASAFQAw%3D%3D","-33.4063143","-70.5612246","Las Condes","Metropolitana","Chile","Google Maps web scraping con Playwright","2026-05-22","Completo","Sí","","","","","","","","","","","","","","","","","raffaella cucina napoletana","No","","No","","Restaurante","90","Alto potencial","","","","","https://www.google.com/search?q=Raffaella+Cucina+Napoletana+Las+Condes+Instagram","https://www.google.com/search?q=Raffaella+Cucina+Napoletana+Las+Condes+Facebook","Pendiente","Validar contra nombre, comuna y sitio web: http://www.raffaellacucina.cl/"
"Hambrientos & Sedientos Providencia","4.9","857","Tomás Andrews 67, 7500000 Providencia, Región Metropolitana","9 6796 6840","https://www.hambrientoschile.cl/pedir","Pub restaurante","https://www.google.com/maps/place/Hambrientos+%26+Sedientos+Providencia/data=!4m7!3m6!1s0x9662c54e18342111:0x42730626ff48fd4e!8m2!3d-33.4417148!4d-70.6325479!16s%2Fg%2F11m9zcrvgy!19sChIJESE0GE7FYpYRTv1I_yYGc0I?authuser=0&hl=es-419&rclk=1","-33.4417148","-70.6325479","Providencia","Metropolitana","Chile","Google Maps web scraping con Playwright","2026-05-22","Completo","Sí","","","","","","","","","","","","","","","","","hambrientos sedientos","No","","No","","Bar/Pub","90","Alto potencial","","","","","https://www.google.com/search?q=Hambrientos+%26+Sedientos+Providencia+Providencia+Instagram","https://www.google.com/search?q=Hambrientos+%26+Sedientos+Providencia+Providencia+Facebook","Pendiente","Validar contra nombre, comuna y sitio web: https://www.hambrientoschile.cl/pedir"
"Aay Chabela Restaurant","4.7","844","Arauco 660, 3780000 Chillán, Ñuble","9 3503 9550","https://www.facebook.com/aychabelarestaurant/","Restaurante","https://www.google.com/maps/place/Aay+Chabela+Restaurant/data=!4m7!3m6!1s0x9668d7dea8c4930b:0x2770903794774fc5!8m2!3d-36.6081967!4d-72.1033385!16s%2Fg%2F11f5v7km71!19sChIJC5PEqN7XaJYRxU93lDeQcCc?authuser=0&hl=es-419&rclk=1","-36.6081967","-72.1033385","Chillán","Ñuble","Chile","Google Maps web scraping con Playwright","2026-05-22","Completo","Sí","","","","","","","","","","","","","","","","","aay chabela","No","","No","","Restaurante","89","Alto potencial","","","","","https://www.google.com/search?q=Aay+Chabela+Restaurant+Chill%C3%A1n+Instagram","https://www.google.com/search?q=Aay+Chabela+Restaurant+Chill%C3%A1n+Facebook","Pendiente","Validar contra nombre, comuna y sitio web: https://www.facebook.com/aychabelarestaurant/"
"Bar Santiago Vitacura","4.6","864","Av Vitacura 7120, 7640560 Vitacura, Región Metropolitana","9 7996 4119","https://barsantiago.cl/","Bar restaurante","https://www.google.com/maps/place/Bar+Santiago+Vitacura/data=!4m7!3m6!1s0x9662c9465439ed5d:0x1ee5cf0006f07af3!8m2!3d-33.3867402!4d-70.5649557!16s%2Fg%2F11tjf5xr59!19sChIJXe05VEbJYpYR83rwBgDP5R4?authuser=0&hl=es-419&rclk=1","-33.3867402","-70.5649557","Vitacura","Metropolitana","Chile","Google Maps web scraping con Playwright","2026-05-22","Completo","Sí","","","","","","","","","","","","","","","","","bar santiago","No","","No","","Bar/Pub","88","Alto potencial","","","","","https://www.google.com/search?q=Bar+Santiago+Vitacura+Vitacura+Instagram","https://www.google.com/search?q=Bar+Santiago+Vitacura+Vitacura+Facebook","Pendiente","Validar contra nombre, comuna y sitio web: https://barsantiago.cl/"
"CAOBA BAR","4.6","834","Alonso de Córdova 4156, 7630448 Vitacura, Región Metropolitana","9 5855 6596","https://caobabar.cl/","Bar restaurante","https://www.google.com/maps/place/CAOBA+BAR/data=!4m7!3m6!1s0x9662cfec8b5a7381:0x776af53046b0faf0!8m2!3d-33.4026497!4d-70.5901323!16s%2Fg%2F11tcwmj81r!19sChIJgXNai-zPYpYR8PqwRjD1anc?authuser=0&hl=es-419&rclk=1","-33.4026497","-70.5901323","Vitacura","Metropolitana","Chile","Google Maps web scraping con Playwright","2026-05-22","Completo","Sí","","","","","","","","","","","","","","","","","caoba bar","No","","No","","Bar/Pub","88","Alto potencial","","","","","https://www.google.com/search?q=CAOBA+BAR+Vitacura+Instagram","https://www.google.com/search?q=CAOBA+BAR+Vitacura+Facebook","Pendiente","Validar contra nombre, comuna y sitio web: https://caobabar.cl/"
"Restaurante Moray","4.7","749","Av. Italia 1586, 7750000 Ñuñoa, Región Metropolitana","(2) 3292 4513","http://moray.cl/","Restaurante","https://www.google.com/maps/place/Restaurante+Moray/@-33.4490363,-70.6241282,17z/data=!3m1!4b1!4m6!3m5!1s0x9662c59bf408de7f:0xf0bcf121cfe7e8ce!8m2!3d-33.4490363!4d-70.6241282!16s%2Fg%2F11pcrq1qlp?authuser=0&hl=es-419&entry=ttu&g_ep=EgoyMDI2MDUxNy4wIKXMDSoASAFQAw%3D%3D","-33.4490363","-70.6241282","Ñuñoa","Metropolitana","Chile","Google Maps web scraping con Playwright","2026-05-22","Completo","Sí","","","","","","","","","","","","","","","","","moray","No","","No","","Restaurante","88","Alto potencial","","","","","https://www.google.com/search?q=Restaurante+Moray+%C3%91u%C3%B1oa+Instagram","https://www.google.com/search?q=Restaurante+Moray+%C3%91u%C3%B1oa+Facebook","Pendiente","Validar contra nombre, comuna y sitio web: http://moray.cl/"
"Secretos de la Nona Chillán Casa Matriz Tienda 1","4.7","716","Arauco 937, 3800926 Chillán, Ñuble","9 8573 2009","https://secretosdelanona.cl/","Restaurante","https://www.google.com/maps/place/Secretos+de+la+Nona+Chill%C3%A1n+Casa+Matriz+Tienda+1/data=!4m7!3m6!1s0x96692828f5997465:0x8416716d711296f7!8m2!3d-36.6116984!4d-72.1043029!16s%2Fg%2F11bwqg83gz!19sChIJZXSZ9SgoaZYR95YScW1xFoQ?authuser=0&hl=es-419&rclk=1","-36.6116984","-72.1043029","Chillán","Ñuble","Chile","Google Maps web scraping con Playwright","2026-05-22","Completo","Sí","","","","","","","","","","","","","","","","","secretos de la nona casa matriz tienda 1","No","","No","","Restaurante","88","Alto potencial","","","","","https://www.google.com/search?q=Secretos+de+la+Nona+Chill%C3%A1n+Casa+Matriz+Tienda+1+Chill%C3%A1n+Instagram","https://www.google.com/search?q=Secretos+de+la+Nona+Chill%C3%A1n+Casa+Matriz+Tienda+1+Chill%C3%A1n+Facebook","Pendiente","Validar contra nombre, comuna y sitio web: https://secretosdelanona.cl/"
"Kató Tasty Caos","4.8","696","Isidora Goyenechea 3275, local 2, 7550129 Las Condes, Región Metropolitana","9 7663 1330","https://katotastycaos.cl/","Restaurante de cocina panasiática","https://www.google.com/maps/place/Kat%C3%B3+Tasty+Caos/data=!4m7!3m6!1s0x9662cf43fd970a8b:0xc8f06bea80827d12!8m2!3d-33.4146907!4d-70.5966256!16s%2Fg%2F11mkhstszp!19sChIJiwqX_UPPYpYREn2CgOpr8Mg?authuser=0&hl=es-419&rclk=1","-33.4146907","-70.5966256","Las Condes","Metropolitana","Chile","Google Maps web scraping con Playwright","2026-05-22","Completo","Sí","","","","","","","","","","","","","","","","","kato tasty caos","No","","No","","Restaurante","88","Alto potencial","","","","","https://www.google.com/search?q=Kat%C3%B3+Tasty+Caos+Las+Condes+Instagram","https://www.google.com/search?q=Kat%C3%B3+Tasty+Caos+Las+Condes+Facebook","Pendiente","Validar contra nombre, comuna y sitio web: https://katotastycaos.cl/"
"Bar Prócer","4.9","545","Casino Marina del Sol, 3780000 Chillán, Ñuble","9 5206 6540","http://www.instagram.com/barprocer","Restaurante","https://www.google.com/maps/place/Bar+Pr%C3%B3cer/@-36.5603212,-72.0933141,17z/data=!3m1!4b1!4m6!3m5!1s0x9668d7e46a1c3a9f:0xd4b92823219ba1d0!8m2!3d-36.5603212!4d-72.0933141!16s%2Fg%2F11r_xh1py5?authuser=0&hl=es-419&entry=ttu&g_ep=EgoyMDI2MDUxNy4wIKXMDSoASAFQAw%3D%3D","-36.5603212","-72.0933141","Chillán","Ñuble","Chile","Google Maps web scraping con Playwright","2026-05-22","Completo","Sí","","","","","","","","","","","","","","","","","bar procer","No","","No","","Bar/Pub","88","Alto potencial","","","","","https://www.google.com/search?q=Bar+Pr%C3%B3cer+Chill%C3%A1n+Instagram","https://www.google.com/search?q=Bar+Pr%C3%B3cer+Chill%C3%A1n+Facebook","Pendiente","Validar contra nombre, comuna y sitio web: http://www.instagram.com/barprocer"
"Bar Porfirio","4.5","922","Manuel Montt 697, 7500972 Providencia, Región Metropolitana","9 3391 9721","https://barporfirio.com/","Restaurante","https://www.google.com/maps/place/Bar+Porfirio/data=!4m7!3m6!1s0x9662cf96ce215003:0xc98947b728875671!8m2!3d-33.4346145!4d-70.6168949!16s%2Fg%2F11j0hsv5fl!19sChIJA1AhzpbPYpYRcVaHKLdHick?authuser=0&hl=es-419&rclk=1","-33.4346145","-70.6168949","Providencia","Metropolitana","Chile","Google Maps web scraping con Playwright","2026-05-22","Completo","Sí","","","","","","","","","","","","","","","","","bar porfirio","No","","No","","Bar/Pub","87","Alto potencial","","","","","https://www.google.com/search?q=Bar+Porfirio+Providencia+Instagram","https://www.google.com/search?q=Bar+Porfirio+Providencia+Facebook","Pendiente","Validar contra nombre, comuna y sitio web: https://barporfirio.com/"
